player_name,runs,balls,wickets,boundaries,strike_rate,id_cricinfo
TS Omary,45,208,6,2,21.63,1119585
FO Kibasu,718,834,14,82,86.09,1119581
NO Tindo,3,63,3,0,4.76,1119590
Zinaida Jeremiah,20,157,10,1,12.74,1119586
M Pascal,309,348,3,34,88.79,271867
HM Omary,278,333,0,16,83.48,1119587
NJ Pius,216,323,6,13,66.87,1119584
GL Mushi,25,41,0,3,60.98,1119582
SH Mohamedi,140,161,0,14,86.96,1119588
MD Bimenyimana,850,1767,61,75,48.1,1172637
M Vumiliya,102,432,23,5,23.61,1172646
G Ishimwe,757,955,7,68,79.27,1172639
V Iriho,32,154,3,1,20.78,1172636
J Nyirankundineza,33,438,25,1,7.53,1172644
H Ishimwe,622,1469,68,55,42.34,1172634
DI Dusabemungu,34,79,0,1,43.04,1172645
S Uwera,222,308,0,14,72.08,1172640
C Uwamahoro,242,273,0,23,88.64,383862
D Mukarurangwa,69,100,0,3,69.0,383860
A Uwimbabazi,42,60,0,0,70.0,1172647
M Ochieng,34,208,11,2,16.35,1179942
E Waithaka,21,185,6,0,11.35,1119433
M Mwangi,158,365,13,11,43.29,1119435
E Wachira,423,1199,49,25,35.28,1119436
M Ndhambi,28,58,1,3,48.28,1179943
D Njoroge,277,311,0,23,89.07,1179940
SW Kinyua,44,61,0,1,72.13,491043
V Abuga,393,434,0,47,90.55,1119434
M Ngoche,139,191,0,17,72.77,1119426
S Juma,194,187,0,23,103.74,492714
V Ooko,427,506,0,41,84.39,1119430
N Squire,0,11,0,0,0.0,1182752
I Muhawenimana,100,485,16,1,20.62,1172638
N Mutasa,8,80,7,0,10.0,638257
N Sibanda,48,685,38,1,7.01,1080012
H Ayoka,7,8,0,0,87.5,546023
F Fyneface,0,1,0,0,0.0,1172357
G Ephraim,0,10,0,0,0.0,1172356
OS Oyronke,3,13,0,0,23.08,1182754
A Ndiraya,158,218,6,12,72.48,490956
A Ikuzwe,311,901,40,13,34.52,1172642
V Mansale,52,261,13,1,19.92,1182778
R Andrew,278,513,20,25,54.19,1093518
S Solman,173,423,9,15,40.9,1093523
L Tastuki,37,112,2,2,33.04,1093516
A Chilia,116,216,1,9,53.7,1093531
N Navaika,156,484,24,8,32.23,1093508
V Langiatu,149,194,0,18,76.8,1093513
JC Sokomanu,4,13,0,0,30.77,1093509
M Carlot,29,57,0,1,50.88,1182780
MV Fare,13,15,0,1,86.67,1093511
NM Ambo,17,137,9,0,12.41,1093307
M Tarimiala,11,15,0,0,73.33,1093515
Erika Oda,499,518,0,58,96.33,1123422
NMP Suwandewi,72,464,18,1,15.52,1116786
A Kitayama,30,44,0,1,68.18,1093302
N Sitompul,10,78,6,0,12.82,1116782
R Endo,51,121,5,1,42.15,1034879
Eri Iko,37,50,0,2,74.0,1182759
T Hanum,2,37,4,0,5.41,1116788
M Yanagida,455,896,19,27,50.78,540354
NKF Rada Rani,219,317,1,7,69.09,1116783
M Kanno,63,186,4,4,33.87,486899
K Winda Prastini,214,311,3,14,68.81,1171445
M Shiraishi,26,63,0,1,41.27,1035361
S Miyaji,123,356,7,7,34.55,486909
